DAY;SALINITY;REPLICATE;LIGHT;PLATE;WELL;DILUTION;FLOWRATE;COUNTS;CONCENTRATION
0;40;1;Yes;3;E1;40;8.01;2096;10466916.35
0;40;2;Yes;3;E2;40;8.01;2257;11270911.36
0;30;1;Yes;3;E3;40;8.01;2246;11215980.02
0;30;2;Yes;3;E4;40;8.01;2266;11315855.18
0;15;1;Yes;3;E5;40;8.01;2508;12524344.57
0;15;2;Yes;3;E6;40;8.01;2201;10991260.92
0;5;1;Yes;3;E7;40;8.01;1822;9098626.717
0;5;2;Yes;3;E8;40;8.01;1821;9093632.959
0;33;1;Yes;3;E9;40;8.01;2349;11730337.08
0;33;2;Yes;3;E10;40;8.01;2402;11995006.24
3;40;1;Yes;3;F1;40;8.01;1677;8374531.835
3;40;2;Yes;3;F2;40;8.01;1657;8274656.679
3;30;1;Yes;3;F3;40;8.01;1590;7940074.906
3;30;2;Yes;3;F4;40;8.01;1747;8724094.881
3;15;1;Yes;3;F5;40;8.01;1822;9098626.717
3;15;2;Yes;3;F6;40;8.01;1798;8978776.529
3;5;1;Yes;3;F7;40;8.01;1550;7740324.594
3;5;2;Yes;3;F8;40;8.01;1510;7540574.282
3;33;1;Yes;3;F9;40;8.01;1577;7875156.055
3;33;2;Yes;3;F10;40;8.01;1177;5877652.934
7;40;1;Yes;3;G1;40;8.01;1247;6227215.98
7;40;2;Yes;3;G2;40;8.01;1008;5033707.865
7;30;1;Yes;3;G3;40;8.01;1478;7380774.032
7;30;2;Yes;3;G4;40;8.01;1227;6127340.824
7;15;1;Yes;3;G5;40;8.01;1066;5323345.818
7;15;2;Yes;3;G6;40;8.01;1301;6496878.901
7;5;1;Yes;3;G7;40;8.01;1017;5078651.685
7;5;2;Yes;3;G8;40;8.01;995;4968789.014
7;33;1;Yes;3;G9;40;8.01;1416;7071161.049
7;33;2;Yes;3;G10;40;8.01;1253;6257178.527
10;40;1;Yes;3;H1;40;8.01;899;4489388.265
10;40;2;Yes;3;H2;40;8.01;677;3380774.032
10;30;1;Yes;3;H3;40;8.01;2025;10112359.55
10;30;2;Yes;3;H4;40;8.01;889;4439450.687
10;15;1;Yes;3;H5;40;8.01;871;4349563.046
10;15;2;Yes;3;H6;40;8.01;871;4349563.046
10;5;1;Yes;3;H7;40;8.01;848;4234706.617
10;5;2;Yes;3;H8;40;8.01;716;3575530.587
10;33;1;Yes;3;H9;40;8.01;860;4294631.71
10;33;2;Yes;3;H10;40;8.01;811;4049937.578
14;40;1;Yes;4;B1;40;9.33;749;3211146.838
14;40;2;Yes;4;B6;40;9.33;636;2726688.103
14;30;1;Yes;4;B2;40;9.33;696;2983922.83
14;30;2;Yes;4;B7;40;9.33;716;3069667.738
14;15;1;Yes;4;B3;40;9.33;878;3764201.501
14;15;2;Yes;4;B8;40;9.33;790;3386923.901
14;5;1;Yes;4;B4;40;9.33;740;3172561.629
14;5;2;Yes;4;B9;40;9.33;621;2662379.421
14;33;1;Yes;4;B5;40;9.33;718;3078242.229
14;33;2;Yes;4;B10;40;9.33;695;2979635.584
17;40;1;Yes;4;D1;40;9.33;531;2276527.331
17;40;2;Yes;4;D6;40;9.33;438;1877813.505
17;30;1;Yes;4;D2;40;9.33;532;2280814.577
17;30;2;Yes;4;D7;40;9.33;531;2276527.331
17;15;1;Yes;4;D3;40;9.33;576;2469453.376
17;15;2;Yes;4;D8;40;9.33;606;2598070.74
17;5;1;Yes;4;D4;40;9.33;467;2002143.623
17;5;2;Yes;4;D9;40;9.33;460;1972132.905
17;33;1;Yes;4;D5;40;9.33;588;2520900.322
17;33;2;Yes;4;D10;40;9.33;656;2812433.012
21;40;1;Yes;4;F1;40;9.33;15359;65847802.79
21;40;2;Yes;4;F6;40;9.33;33859;145161843.5
21;30;1;Yes;4;F2;40;9.33;454;1946409.432
21;30;2;Yes;4;F7;40;9.33;14299;61303322.62
21;15;1;Yes;4;F3;40;9.33;510;2186495.177
21;15;2;Yes;4;F8;40;9.33;51699;221646302.3
21;5;1;Yes;4;F4;40;9.33;399;1710610.932
21;5;2;Yes;4;F9;40;9.33;438;1877813.505
21;33;1;Yes;4;F5;40;9.33;13544;58066452.3
21;33;2;Yes;4;F10;40;9.33;23534;100896034.3
28;40;1;Yes;5;B1;40;9.33;13352;57243301.18
28;40;2;Yes;5;B6;40;9.33;25349;108677384.8
28;30;1;Yes;5;B2;40;9.33;341;1461950.697
28;30;2;Yes;5;B7;40;9.33;12064;51721329.05
28;15;1;Yes;5;B3;40;9.33;456;1954983.923
28;15;2;Yes;5;B8;40;9.33;50861;218053590.6
28;5;1;Yes;5;B4;40;9.33;361;1547695.606
28;5;2;Yes;5;B9;40;9.33;360;1543408.36
28;33;1;Yes;5;B5;40;9.33;17042;73063236.87
28;33;2;Yes;5;B10;40;9.33;17885;76677384.78
35;40;1;Yes;5;D1;40;9.33;39205;168081457.7
35;40;2;Yes;5;D6;40;9.33;39082;167554126.5
35;30;1;Yes;5;D2;40;9.33;351;1504823.151
35;30;2;Yes;5;D7;40;9.33;15829;67862808.15
35;15;1;Yes;5;D3;40;9.33;361;1547695.606
35;15;2;Yes;5;D8;40;9.33;54363;233067524.1
35;5;1;Yes;5;D4;40;9.33;319;1367631.297
35;5;2;Yes;5;D9;40;9.33;282;1209003.215
35;33;1;Yes;5;D5;40;9.33;36707;157371918.5
35;33;2;Yes;5;D10;40;9.33;22102;94756698.82
42;40;1;Yes;5;F1;40;9.33;85106;364870310.8
42;40;2;Yes;5;F6;40;9.33;95331;408707395.5
42;30;1;Yes;5;F2;40;9.33;340;1457663.451
42;30;2;Yes;5;F7;40;9.33;132513;568115755.6
42;15;1;Yes;5;F3;40;9.33;409;1753483.387
42;15;2;Yes;5;F8;40;9.33;85987;368647374.1
42;5;1;Yes;5;F4;40;9.33;390;1672025.723
42;5;2;Yes;5;F9;40;9.33;470;2015005.359
42;33;1;Yes;5;F5;40;9.33;189084;810649517.7
42;33;2;Yes;5;F10;40;9.33;90150;386495176.8
0;40;1;No;3;A1;40;8.01;1835;9163545.568
0;40;2;No;3;A2;40;8.01;1844;9208489.388
0;30;1;No;3;A3;40;8.01;1809;9033707.865
0;30;2;No;3;A4;40;8.01;2055;10262172.28
0;15;1;No;3;A5;40;8.01;2054;10257178.53
0;15;2;No;3;A6;40;8.01;1931;9642946.317
0;5;1;No;3;A7;40;8.01;1586;7920099.875
0;5;2;No;3;A8;40;8.01;1598;7980024.969
0;33;1;No;3;A9;40;8.01;2034;10157303.37
0;33;2;No;3;A10;40;8.01;1957;9772784.02
3;40;1;No;3;B1;40;8.01;1699;8484394.507
3;40;2;No;3;B2;40;8.01;1251;6247191.011
3;30;1;No;3;B3;40;8.01;1577;7875156.055
3;30;2;No;3;B4;40;8.01;1628;8129837.703
3;15;1;No;3;B5;40;8.01;1797;8973782.772
3;15;2;No;3;B6;40;8.01;1553;7755305.868
3;5;1;No;3;B7;40;8.01;1503;7505617.978
3;5;2;No;3;B8;40;8.01;1388;6931335.83
3;33;1;No;3;B9;40;8.01;1769;8833957.553
3;33;2;No;3;B10;40;8.01;1562;7800249.688
7;40;1;No;3;C1;40;8.01;1009;5038701.623
7;40;2;No;3;C2;40;8.01;983;4908863.92
7;30;1;No;3;C3;40;8.01;1384;6911360.799
7;30;2;No;3;C4;40;8.01;1266;6322097.378
7;15;1;No;3;C5;40;8.01;1357;6776529.338
7;15;2;No;3;C6;40;8.01;1552;7750312.11
7;5;1;No;3;C7;40;8.01;1301;6496878.901
7;5;2;No;3;C8;40;8.01;1168;5832709.114
7;33;1;No;3;C9;40;8.01;1044;5213483.146
7;33;2;No;3;C10;40;8.01;1214;6062421.973
10;40;1;No;3;D1;40;8.01;1069;5338327.091
10;40;2;No;3;D2;40;8.01;980;4893882.647
10;30;1;No;3;D3;40;8.01;900;4494382.022
10;30;2;No;3;D4;40;8.01;1095;5468164.794
10;15;1;No;3;D5;40;8.01;1193;5957553.059
10;15;2;No;3;D6;40;8.01;1281;6397003.745
10;5;1;No;3;D7;40;8.01;809;4039950.062
10;5;2;No;3;D8;40;8.01;1080;5393258.427
10;33;1;No;3;D9;40;8.01;1105;5518102.372
10;33;2;No;3;D10;40;8.01;1038;5183520.599
14;40;1;No;4;C1;40;9.33;936;4012861.736
14;40;2;No;4;C6;40;9.33;921;3948553.055
14;30;1;No;4;C2;40;9.33;1099;4711682.744
14;30;2;No;4;C7;40;9.33;1055;4523043.944
14;15;1;No;4;C3;40;9.33;1140;4887459.807
14;15;2;No;4;C8;40;9.33;1070;4587352.626
14;5;1;No;4;C4;40;9.33;986;4227224.009
14;5;2;No;4;C9;40;9.33;1036;4441586.281
14;33;1;No;4;C5;40;9.33;1187;5088960.343
14;33;2;No;4;C10;40;9.33;944;4047159.7
17;40;1;No;4;E1;40;9.33;721;3091103.966
17;40;2;No;4;E6;40;9.33;755;3236870.311
17;30;1;No;4;E2;40;9.33;874;3747052.519
17;30;2;No;4;E7;40;9.33;979;4197213.29
17;15;1;No;4;E3;40;9.33;832;3566988.21
17;15;2;No;4;E8;40;9.33;878;3764201.501
17;5;1;No;4;E4;40;9.33;756;3241157.556
17;5;2;No;4;E9;40;9.33;800;3429796.356
17;33;1;No;4;E5;40;9.33;814;3489817.792
17;33;2;No;4;E10;40;9.33;1014;4347266.881
21;40;1;No;4;G1;40;9.33;724;3103965.702
21;40;2;No;4;G6;40;9.33;557;2387995.713
21;30;1;No;4;G2;40;9.33;712;3052518.757
21;30;2;No;4;G7;40;9.33;812;3481243.301
21;15;1;No;4;G3;40;9.33;808;3464094.319
21;15;2;No;4;G8;40;9.33;766;3284030.011
21;5;1;No;4;G4;40;9.33;777;3331189.711
21;5;2;No;4;G9;40;9.33;826;3541264.737
21;33;1;No;4;G5;40;9.33;720;3086816.72
21;33;2;No;4;G10;40;9.33;835;3579849.946
28;40;1;No;5;A1;40;9.33;317;1359056.806
28;40;2;No;5;A6;40;9.33;218;934619.507
28;30;1;No;5;A2;40;9.33;370;1586280.815
28;30;2;No;5;A7;40;9.33;339;1453376.206
28;15;1;No;5;A3;40;9.33;399;1710610.932
28;15;2;No;5;A8;40;9.33;406;1740621.651
28;5;1;No;5;A4;40;9.33;485;2079314.041
28;5;2;No;5;A9;40;9.33;435;1864951.768
28;33;1;No;5;A5;40;9.33;442;1894962.487
28;33;2;No;5;A10;40;9.33;500;2143622.722
35;40;1;No;5;C1;40;9.33;337;1444801.715
35;40;2;No;5;C6;40;9.33;377;1616291.533
35;30;1;No;5;C2;40;9.33;596;2555198.285
35;30;2;No;5;C7;40;9.33;547;2345123.258
35;15;1;No;5;C3;40;9.33;568;2435155.413
35;15;2;No;5;C8;40;9.33;584;2503751.34
35;5;1;No;5;C4;40;9.33;624;2675241.158
35;5;2;No;5;C9;40;9.33;544;2332261.522
35;33;1;No;5;C5;40;9.33;583;2499464.094
35;33;2;No;5;C10;40;9.33;536;2297963.558
42;40;1;No;5;E1;40;9.33;211;904608.7889
42;40;2;No;5;E6;40;9.33;180;771704.1801
42;30;1;No;5;E2;40;9.33;287;1230439.443
42;30;2;No;5;E7;40;9.33;305;1307609.861
42;15;1;No;5;E3;40;9.33;327;1401929.26
42;15;2;No;5;E8;40;9.33;365;1564844.587
42;5;1;No;5;E4;40;9.33;592;2538049.303
42;5;2;No;5;E9;40;9.33;354;1517684.887
42;33;1;No;5;E5;40;9.33;365;1564844.587
42;33;2;No;5;E10;40;9.33;317;1359056.806
